(1, 60)
(2, 22)
(3, 11)
(4, 12)
(5, 13)
(6, 9)
(7, 5)
(8, 5)
(9, 8)
(10, 2)
(11, 6)
(12, 5)
(13, 6)
(14, 5)
(15, 8)
(16, 5)
(17, 7)
(18, 5)
(19, 6)
(20, 1)
(21, 4)
(22, 4)
(23, 3)
(24, 9)
(25, 10)
(26, 8)
(27, 4)
(28, 7)
(29, 5)
(30, 11)
(31, 12)
(32, 3)
(33, 6)
(34, 6)
(35, 6)
(36, 7)
(37, 13)
(38, 8)
(39, 9)
(40, 4)
(41, 10)
(42, 6)
(43, 10)
(44, 10)
(45, 8)
(46, 10)
(47, 5)
(48, 7)
(49, 5)
(50, 11)
(51, 6)
(52, 8)
(53, 8)
(54, 7)
(55, 9)
(56, 5)
(57, 8)
(58, 5)
(59, 9)
(60, 9)
(61, 9)
(62, 7)
(63, 7)
(64, 4)
(65, 11)
(66, 6)
(67, 9)
(68, 11)
(69, 8)
(70, 9)
(71, 11)
(72, 12)
(73, 6)
(74, 9)
(75, 7)
(76, 8)
(77, 8)
(78, 7)
(79, 4)
(80, 11)
(81, 10)
(82, 6)
(83, 9)
(84, 10)
(85, 10)
(86, 10)
(87, 5)
(88, 5)
(89, 7)
(90, 8)
(91, 6)
(92, 3)
(93, 5)
(94, 12)
(95, 5)
(96, 4)
(97, 7)
(98, 5)
(99, 5)
(100, 4)
(101, 16)
(102, 3)
(103, 9)
(104, 9)
(105, 2)
(106, 6)
(107, 9)
(108, 7)
(109, 8)
(110, 7)
(111, 5)
(112, 10)
(113, 8)
(114, 9)
(115, 11)
(116, 4)
(117, 7)
(118, 4)
(119, 4)
(120, 5)
(121, 6)
(122, 5)
(123, 8)
(124, 2)
(125, 3)
(126, 8)
(127, 5)
(128, 1)
(129, 2)
(130, 6)
(131, 7)
(132, 2)
(133, 2)
(134, 4)
(135, 4)
(136, 5)
(137, 4)
(138, 2)
(139, 4)
(140, 1)
(141, 4)
(142, 5)
(144, 3)
(145, 3)
(146, 2)
(147, 4)
(148, 3)
(149, 4)
(150, 3)
(151, 1)
(152, 6)
(153, 3)
(154, 5)
(155, 3)
(156, 1)
(157, 6)
(158, 4)
(159, 1)
(160, 1)
(161, 2)
(162, 4)
(163, 1)
(164, 4)
(165, 6)
(166, 4)
(167, 4)
(168, 2)
(170, 6)
(171, 2)
(172, 4)
(173, 1)
(174, 4)
(175, 4)
(176, 3)
(177, 2)
(178, 3)
(179, 1)
(180, 1)
(181, 1)
(182, 4)
(183, 3)
(185, 3)
(186, 3)
(187, 3)
(188, 3)
(189, 4)
(190, 1)
(192, 2)
(193, 2)
(194, 1)
(195, 1)
(196, 3)
(197, 3)
(198, 2)
(200, 1)
(201, 4)
(202, 1)
(203, 1)
(204, 1)
(206, 1)
(207, 1)
(208, 3)
(209, 1)
(212, 3)
(213, 3)
(216, 2)
(217, 1)
(219, 1)
(220, 1)
(224, 1)
(225, 1)
(227, 2)
(228, 1)
(229, 2)
(230, 1)
(231, 1)
(233, 3)
(234, 1)
(235, 2)
(236, 1)
(238, 1)
(239, 1)
(244, 3)
(246, 1)
(250, 3)
(253, 1)
(255, 2)
(257, 2)
(260, 1)
(261, 1)
(263, 1)
(267, 1)
(268, 1)
(269, 1)
(270, 1)
(271, 1)
(272, 1)
(273, 1)
(276, 2)
(278, 1)
(279, 1)
(281, 2)
(282, 1)
(283, 1)
(284, 1)
(286, 2)
(287, 1)
(288, 1)
(289, 1)
(291, 2)
(300, 1)
(302, 1)
(307, 1)
(309, 1)
(310, 2)
(314, 1)
(316, 1)
(322, 1)
(327, 1)
(335, 1)
(343, 1)
(344, 1)
(347, 1)
(349, 1)
(353, 1)
(354, 1)
(355, 1)
(358, 1)
(372, 1)
(383, 1)
(384, 1)
(388, 1)
(390, 1)
(396, 1)
(399, 1)
(402, 1)
(407, 1)
(410, 1)
(415, 1)
(429, 1)
(443, 1)
(447, 1)
(459, 1)
(466, 1)
(488, 1)
(501, 1)
(520, 1)
(585, 1)
(620, 1)
(640, 1)
(700, 1)
(716, 1)
(742, 1)
(776, 1)
(796, 1)
(810, 1)
(996, 1)
(1148, 1)
(1168, 1)
(1529, 1)
(1622, 1)
(2552, 1)
(3317, 1)
